ordno,custno,date,time,prodno,qty,linetotal,city,gender,dob,catcode,margin
1042,110,04/03/2017,16:49:32,19,10,40,Tilburg,f,08/07/1993,lux,0.19
1042,110,04/03/2017,20:12:49,11,1,7,Tilburg,f,08/07/1993,zuv,0.23
1043,108,04/03/2017,19:33:47,14,8,72,Helmond,f,30/06/1978,lux,0.12
1044,105,05/03/2017,11:33:56,14,6,54,Helmond,m,06/07/1986,lux,0.12
1044,105,05/03/2017,20:46:12,17,9,90,Helmond,m,06/07/1986,bio,0.08
1045,103,05/03/2017,13:09:55,10,1,10,Tilburg,m,26/01/1975,lux,0.08
1045,103,05/03/2017,17:18:51,15,10,140,Tilburg,m,26/01/1975,zuv,0.08
1045,103,05/03/2017,20:33:10,17,8,80,Tilburg,m,26/01/1975,bio,0.08
1046,108,09/03/2017,12:27:06,15,4,56,Helmond,f,30/06/1978,zuv,0.08
1047,112,12/03/2017,08:09:24,16,9,126,Tilburg,m,11/01/1977,bio,0.23
1048,105,15/03/2017,16:27:05,18,10,80,Helmond,m,06/07/1986,bio,0.19
1048,105,15/03/2017,13:13:29,17,3,30,Helmond,m,06/07/1986,bio,0.08
1048,105,15/03/2017,09:29:31,11,7,49,Helmond,m,06/07/1986,zuv,0.23
1049,109,15/03/2017,20:54:09,14,5,45,Tilburg,f,08/05/1986,lux,0.12
1050,105,16/03/2017,17:51:50,10,10,100,Helmond,m,06/07/1986,lux,0.08
1051,111,20/03/2017,16:08:27,15,10,140,Helmond,m,12/01/1986,zuv,0.08
1051,111,20/03/2017,16:13:08,14,5,45,Helmond,m,12/01/1986,lux,0.12
1052,108,20/03/2017,09:53:09,12,3,27,Helmond,f,30/06/1978,zuv,0.12
1052,108,20/03/2017,14:31:31,16,7,98,Helmond,f,30/06/1978,bio,0.23
1053,113,21/03/2017,11:31:01,17,6,60,Venlo,m,05/09/1966,bio,0.08
1054,108,22/03/2017,18:20:32,11,6,42,Helmond,f,30/06/1978,zuv,0.23
1055,108,24/03/2017,07:59:37,10,5,50,Helmond,f,30/06/1978,lux,0.08
1056,111,24/03/2017,20:25:47,14,5,45,Helmond,m,12/01/1986,lux,0.12
1057,115,27/03/2017,17:11:00,17,6,60,Eindhoven,f,19/10/1975,bio,0.08
1058,105,27/03/2017,13:03:56,17,5,50,Helmond,m,06/07/1986,bio,0.08
1059,109,28/03/2017,08:56:20,10,10,100,Tilburg,f,08/05/1986,lux,0.08
1060,106,28/03/2017,10:13:13,14,9,81,Eindhoven,m,02/08/1983,lux,0.12
1061,113,29/03/2017,20:26:56,15,3,42,Venlo,m,05/09/1966,zuv,0.08
1062,104,01/04/2017,17:24:18,14,5,45,Venlo,m,12/03/1974,lux,0.12
1062,104,01/04/2017,13:15:19,11,5,35,Venlo,m,12/03/1974,zuv,0.23
1062,104,01/04/2017,10:35:38,15,1,14,Venlo,m,12/03/1974,zuv,0.08
1063,118,03/04/2017,14:23:28,18,4,32,Eindhoven,f,25/11/1965,bio,0.19
1064,115,03/04/2017,18:35:48,17,5,50,Eindhoven,f,19/10/1975,bio,0.08
1065,114,03/04/2017,15:16:36,10,2,20,Tilburg,m,02/01/1980,lux,0.08
1066,113,09/04/2017,15:42:47,17,8,80,Venlo,m,05/09/1966,bio,0.08
1066,113,09/04/2017,15:08:36,11,1,7,Venlo,m,05/09/1966,zuv,0.23
1067,108,11/04/2017,20:06:36,15,8,112,Helmond,f,30/06/1978,zuv,0.08
1067,108,11/04/2017,19:04:08,17,5,50,Helmond,f,30/06/1978,bio,0.08
1068,111,11/04/2017,11:38:54,16,8,112,Helmond,m,12/01/1986,bio,0.23
1069,118,12/04/2017,10:28:21,10,1,10,Eindhoven,f,25/11/1965,lux,0.08
1070,112,13/04/2017,08:14:44,15,1,14,Tilburg,m,11/01/1977,zuv,0.08
1071,117,14/04/2017,12:48:32,17,5,50,Eindhoven,m,14/01/1983,bio,0.08
1071,117,14/04/2017,10:59:57,10,7,70,Eindhoven,m,14/01/1983,lux,0.08
1071,117,14/04/2017,10:59:09,15,3,42,Eindhoven,m,14/01/1983,zuv,0.08
1072,107,14/04/2017,19:28:22,10,9,90,Tilburg,f,23/06/1986,lux,0.08
1073,115,14/04/2017,12:31:28,15,7,98,Eindhoven,f,19/10/1975,zuv,0.08
1074,106,14/04/2017,17:06:45,17,9,90,Eindhoven,m,02/08/1983,bio,0.08
1075,112,14/04/2017,14:05:22,14,5,45,Tilburg,m,11/01/1977,lux,0.12
1075,112,14/04/2017,14:40:22,18,5,40,Tilburg,m,11/01/1977,bio,0.19
1076,110,15/04/2017,19:32:46,15,3,42,Tilburg,f,08/07/1993,zuv,0.08
1076,110,15/04/2017,08:37:18,14,4,36,Tilburg,f,08/07/1993,lux,0.12
1077,106,16/04/2017,10:05:22,15,3,42,Eindhoven,m,02/08/1983,zuv,0.08
1078,112,20/04/2017,06:21:00,17,10,100,Tilburg,m,11/01/1977,bio,0.08
1078,112,20/04/2017,09:43:29,16,1,14,Tilburg,m,11/01/1977,bio,0.23
1078,112,20/04/2017,16:57:25,11,8,56,Tilburg,m,11/01/1977,zuv,0.23
1079,119,20/04/2017,08:14:04,17,4,40,Eindhoven,f,24/10/1992,bio,0.08
1079,119,20/04/2017,06:15:39,15,6,84,Eindhoven,f,24/10/1992,zuv,0.08
1079,119,20/04/2017,20:42:36,10,7,70,Eindhoven,f,24/10/1992,lux,0.08
1080,119,21/04/2017,15:20:39,14,3,27,Eindhoven,f,24/10/1992,lux,0.12
1081,106,21/04/2017,07:23:55,17,1,10,Eindhoven,m,02/08/1983,bio,0.08
1082,107,22/04/2017,08:44:13,14,5,45,Tilburg,f,23/06/1986,lux,0.12
1082,107,22/04/2017,11:57:35,12,7,63,Tilburg,f,23/06/1986,zuv,0.12
1083,120,23/04/2017,11:59:27,13,10,150,Helmond,f,20/11/1972,zuv,0.23
1084,113,24/04/2017,16:23:59,11,10,70,Venlo,m,05/09/1966,zuv,0.23
1084,113,24/04/2017,16:49:52,16,1,14,Venlo,m,05/09/1966,bio,0.23
1085,119,26/04/2017,18:50:46,12,5,45,Eindhoven,f,24/10/1992,zuv,0.12
1085,119,26/04/2017,13:44:22,15,4,56,Eindhoven,f,24/10/1992,zuv,0.08
1086,110,27/04/2017,20:04:15,10,4,40,Tilburg,f,08/07/1993,lux,0.08
1087,109,28/04/2017,11:16:45,18,7,56,Tilburg,f,08/05/1986,bio,0.19
1087,109,28/04/2017,09:02:55,10,3,30,Tilburg,f,08/05/1986,lux,0.08
1088,114,28/04/2017,16:23:54,10,4,40,Tilburg,m,02/01/1980,lux,0.08
1089,104,30/04/2017,08:53:13,11,10,70,Venlo,m,12/03/1974,zuv,0.23
1090,112,30/04/2017,08:49:08,14,4,36,Tilburg,m,11/01/1977,lux,0.12
1090,112,30/04/2017,09:27:09,10,9,90,Tilburg,m,11/01/1977,lux,0.08
1091,105,01/05/2017,18:23:57,17,3,30,Helmond,m,06/07/1986,bio,0.08
1092,120,01/05/2017,06:13:34,14,6,54,Helmond,f,20/11/1972,lux,0.12
1093,113,03/05/2017,06:10:09,11,2,14,Venlo,m,05/09/1966,zuv,0.23
1094,111,04/05/2017,11:58:05,15,2,28,Helmond,m,12/01/1986,zuv,0.08
1094,111,04/05/2017,17:37:42,14,9,81,Helmond,m,12/01/1986,lux,0.12
1095,109,05/05/2017,16:58:26,13,1,15,Tilburg,f,08/05/1986,zuv,0.23
1095,109,05/05/2017,18:46:39,15,9,126,Tilburg,f,08/05/1986,zuv,0.08
1096,118,05/05/2017,14:57:40,11,3,21,Eindhoven,f,25/11/1965,zuv,0.23
1097,108,08/05/2017,16:46:28,16,1,14,Helmond,f,30/06/1978,bio,0.23
1097,108,08/05/2017,11:12:33,12,8,72,Helmond,f,30/06/1978,zuv,0.12
1098,106,08/05/2017,10:01:27,18,1,8,Eindhoven,m,02/08/1983,bio,0.19
1099,104,08/05/2017,19:29:06,10,1,10,Venlo,m,12/03/1974,lux,0.08
1100,104,10/05/2017,10:20:25,14,5,45,Venlo,m,12/03/1974,lux,0.12
1100,104,10/05/2017,20:51:07,17,3,30,Venlo,m,12/03/1974,bio,0.08
1101,110,11/05/2017,13:55:42,17,5,50,Tilburg,f,08/07/1993,bio,0.08
1102,106,11/05/2017,07:36:31,17,7,70,Eindhoven,m,02/08/1983,bio,0.08
1102,106,11/05/2017,14:18:03,14,1,9,Eindhoven,m,02/08/1983,lux,0.12
1103,105,13/05/2017,12:56:52,10,2,20,Helmond,m,06/07/1986,lux,0.08
1104,114,14/05/2017,12:47:49,17,2,20,Tilburg,m,02/01/1980,bio,0.08
1105,101,14/05/2017,17:44:09,11,9,63,Eindhoven,m,26/04/1985,zuv,0.23
1106,115,14/05/2017,09:14:59,10,7,70,Eindhoven,f,19/10/1975,lux,0.08
1107,108,14/05/2017,10:34:00,14,7,63,Helmond,f,30/06/1978,lux,0.12
1108,109,15/05/2017,08:56:42,14,4,36,Tilburg,f,08/05/1986,lux,0.12
1109,117,16/05/2017,10:33:41,16,5,70,Eindhoven,m,14/01/1983,bio,0.23
1109,117,16/05/2017,11:50:19,17,4,40,Eindhoven,m,14/01/1983,bio,0.08
1110,119,17/05/2017,07:27:43,14,9,81,Eindhoven,f,24/10/1992,lux,0.12
1111,106,17/05/2017,08:08:31,14,6,54,Eindhoven,m,02/08/1983,lux,0.12
1112,120,18/05/2017,10:55:09,11,4,28,Helmond,f,20/11/1972,zuv,0.23
1113,115,18/05/2017,18:49:47,11,1,7,Eindhoven,f,19/10/1975,zuv,0.23
1114,114,18/05/2017,16:53:33,13,6,90,Tilburg,m,02/01/1980,zuv,0.23
1115,102,18/05/2017,08:37:23,18,2,16,Venlo,m,03/10/1972,bio,0.19
1115,102,18/05/2017,20:09:17,10,8,80,Venlo,m,03/10/1972,lux,0.08
1116,108,19/05/2017,14:56:40,14,3,27,Helmond,f,30/06/1978,lux,0.12
1116,108,19/05/2017,10:23:42,16,7,98,Helmond,f,30/06/1978,bio,0.23
1117,110,21/05/2017,13:38:55,11,2,14,Tilburg,f,08/07/1993,zuv,0.23
1118,112,21/05/2017,19:12:04,10,3,30,Tilburg,m,11/01/1977,lux,0.08
1119,114,22/05/2017,19:50:07,11,9,63,Tilburg,m,02/01/1980,zuv,0.23
1120,119,25/05/2017,20:51:22,12,9,81,Eindhoven,f,24/10/1992,zuv,0.12
1121,113,25/05/2017,14:00:14,15,1,14,Venlo,m,05/09/1966,zuv,0.08
1122,109,27/05/2017,14:11:58,15,9,126,Tilburg,f,08/05/1986,zuv,0.08
1123,111,29/05/2017,14:39:03,19,2,8,Helmond,m,12/01/1986,lux,0.19
1123,111,29/05/2017,18:57:02,13,7,105,Helmond,m,12/01/1986,zuv,0.23
1123,111,29/05/2017,12:39:32,18,5,40,Helmond,m,12/01/1986,bio,0.19
1124,102,31/05/2017,19:28:48,14,6,54,Venlo,m,03/10/1972,lux,0.12
1124,102,31/05/2017,13:37:15,16,8,112,Venlo,m,03/10/1972,bio,0.23
1125,106,02/06/2017,06:52:41,17,5,50,Eindhoven,m,02/08/1983,bio,0.08
1126,108,02/06/2017,18:47:43,17,10,100,Helmond,f,30/06/1978,bio,0.08
1126,108,02/06/2017,11:12:18,10,10,100,Helmond,f,30/06/1978,lux,0.08
1127,104,03/06/2017,11:42:28,17,7,70,Venlo,m,12/03/1974,bio,0.08
1127,104,03/06/2017,06:55:42,19,4,16,Venlo,m,12/03/1974,lux,0.19
1128,117,03/06/2017,17:33:18,10,5,50,Eindhoven,m,14/01/1983,lux,0.08
1128,117,03/06/2017,11:59:24,15,3,42,Eindhoven,m,14/01/1983,zuv,0.08
1129,104,04/06/2017,19:18:12,10,1,10,Venlo,m,12/03/1974,lux,0.08
1130,117,06/06/2017,12:53:06,14,1,9,Eindhoven,m,14/01/1983,lux,0.12
1131,111,06/06/2017,17:32:30,11,1,7,Helmond,m,12/01/1986,zuv,0.23
1131,111,06/06/2017,12:27:17,10,8,80,Helmond,m,12/01/1986,lux,0.08
1132,114,06/06/2017,16:12:27,14,5,45,Tilburg,m,02/01/1980,lux,0.12
1133,104,06/06/2017,15:43:48,14,9,81,Venlo,m,12/03/1974,lux,0.12
1134,113,08/06/2017,08:56:10,19,6,24,Venlo,m,05/09/1966,lux,0.19
1135,107,09/06/2017,06:50:22,15,2,28,Tilburg,f,23/06/1986,zuv,0.08
1136,115,09/06/2017,15:51:23,14,7,63,Eindhoven,f,19/10/1975,lux,0.12
1136,115,09/06/2017,07:24:20,15,9,126,Eindhoven,f,19/10/1975,zuv,0.08
1137,108,10/06/2017,11:15:25,15,8,112,Helmond,f,30/06/1978,zuv,0.08
1138,120,12/06/2017,14:13:02,16,6,84,Helmond,f,20/11/1972,bio,0.23
1139,120,13/06/2017,16:47:34,11,5,35,Helmond,f,20/11/1972,zuv,0.23
1139,120,13/06/2017,06:41:15,15,7,98,Helmond,f,20/11/1972,zuv,0.08
1140,115,13/06/2017,16:06:38,11,9,63,Eindhoven,f,19/10/1975,zuv,0.23
1141,106,13/06/2017,09:28:50,17,2,20,Eindhoven,m,02/08/1983,bio,0.08
1141,106,13/06/2017,17:51:02,10,3,30,Eindhoven,m,02/08/1983,lux,0.08
1142,105,15/06/2017,14:53:03,15,2,28,Helmond,m,06/07/1986,zuv,0.08
1142,105,15/06/2017,07:55:06,10,8,80,Helmond,m,06/07/1986,lux,0.08
1143,112,15/06/2017,09:03:57,16,2,28,Tilburg,m,11/01/1977,bio,0.23
1144,106,16/06/2017,11:22:15,17,9,90,Eindhoven,m,02/08/1983,bio,0.08
1144,106,16/06/2017,20:53:05,14,8,72,Eindhoven,m,02/08/1983,lux,0.12
1145,111,17/06/2017,11:05:03,13,10,150,Helmond,m,12/01/1986,zuv,0.23
1145,111,17/06/2017,13:39:00,10,5,50,Helmond,m,12/01/1986,lux,0.08
1146,116,17/06/2017,09:42:17,17,10,100,Helmond,f,04/10/1981,bio,0.08
1147,104,17/06/2017,08:28:05,18,8,64,Venlo,m,12/03/1974,bio,0.19
1147,104,17/06/2017,18:53:39,10,4,40,Venlo,m,12/03/1974,lux,0.08
1147,104,17/06/2017,19:50:20,14,1,9,Venlo,m,12/03/1974,lux,0.12
1147,104,17/06/2017,10:23:30,19,3,12,Venlo,m,12/03/1974,lux,0.19
1148,109,18/06/2017,16:20:38,15,8,112,Tilburg,f,08/05/1986,zuv,0.08
1149,110,19/06/2017,18:35:14,11,4,28,Tilburg,f,08/07/1993,zuv,0.23
1149,110,19/06/2017,10:54:20,19,4,16,Tilburg,f,08/07/1993,lux,0.19
1150,118,19/06/2017,19:47:47,15,1,14,Eindhoven,f,25/11/1965,zuv,0.08
1151,119,21/06/2017,12:55:53,17,6,60,Eindhoven,f,24/10/1992,bio,0.08
1152,118,23/06/2017,19:07:54,14,2,18,Eindhoven,f,25/11/1965,lux,0.12
1152,118,23/06/2017,08:51:54,12,9,81,Eindhoven,f,25/11/1965,zuv,0.12
1153,114,24/06/2017,06:30:52,15,1,14,Tilburg,m,02/01/1980,zuv,0.08
1153,114,24/06/2017,20:33:42,10,8,80,Tilburg,m,02/01/1980,lux,0.08
1154,120,26/06/2017,09:45:44,17,9,90,Helmond,f,20/11/1972,bio,0.08
1154,120,26/06/2017,09:53:58,10,1,10,Helmond,f,20/11/1972,lux,0.08
1155,111,27/06/2017,20:11:25,17,3,30,Helmond,m,12/01/1986,bio,0.08
1155,111,27/06/2017,06:08:44,10,7,70,Helmond,m,12/01/1986,lux,0.08
1156,112,27/06/2017,20:36:54,14,8,72,Tilburg,m,11/01/1977,lux,0.12
1157,107,01/07/2017,07:39:34,14,5,45,Tilburg,f,23/06/1986,lux,0.12
1157,107,01/07/2017,15:27:42,18,10,80,Tilburg,f,23/06/1986,bio,0.19
1158,107,03/07/2017,12:09:31,10,4,40,Tilburg,f,23/06/1986,lux,0.08
1159,101,03/07/2017,20:17:53,14,5,45,Eindhoven,m,26/04/1985,lux,0.12
1159,101,03/07/2017,09:57:07,13,3,45,Eindhoven,m,26/04/1985,zuv,0.23
1159,101,03/07/2017,13:30:28,17,7,70,Eindhoven,m,26/04/1985,bio,0.08
1160,111,04/07/2017,12:18:36,17,6,60,Helmond,m,12/01/1986,bio,0.08
1161,118,05/07/2017,07:10:00,18,1,8,Eindhoven,f,25/11/1965,bio,0.19
1162,101,05/07/2017,10:37:01,19,8,32,Eindhoven,m,26/04/1985,lux,0.19
1163,102,06/07/2017,13:23:24,10,3,30,Venlo,m,03/10/1972,lux,0.08
1163,102,06/07/2017,16:51:47,15,7,98,Venlo,m,03/10/1972,zuv,0.08
1163,102,06/07/2017,14:14:18,11,6,42,Venlo,m,03/10/1972,zuv,0.23
1164,104,06/07/2017,19:38:24,17,7,70,Venlo,m,12/03/1974,bio,0.08
1164,104,06/07/2017,15:50:23,14,7,63,Venlo,m,12/03/1974,lux,0.12
1165,116,08/07/2017,18:36:20,18,3,24,Helmond,f,04/10/1981,bio,0.19
1165,116,08/07/2017,09:51:11,14,3,27,Helmond,f,04/10/1981,lux,0.12
1166,115,09/07/2017,18:11:13,10,6,60,Eindhoven,f,19/10/1975,lux,0.08
1166,115,09/07/2017,11:56:59,18,10,80,Eindhoven,f,19/10/1975,bio,0.19
1167,120,10/07/2017,19:08:04,12,4,36,Helmond,f,20/11/1972,zuv,0.12
1168,110,10/07/2017,14:56:57,11,4,28,Tilburg,f,08/07/1993,zuv,0.23
1168,110,10/07/2017,20:38:00,14,1,9,Tilburg,f,08/07/1993,lux,0.12
1169,102,11/07/2017,09:10:24,17,6,60,Venlo,m,03/10/1972,bio,0.08
1169,102,11/07/2017,07:40:12,11,6,42,Venlo,m,03/10/1972,zuv,0.23
1170,113,12/07/2017,18:33:20,18,8,64,Venlo,m,05/09/1966,bio,0.19
1170,113,12/07/2017,10:22:51,15,10,140,Venlo,m,05/09/1966,zuv,0.08
1171,116,12/07/2017,10:29:20,14,5,45,Helmond,f,04/10/1981,lux,0.12
1171,116,12/07/2017,15:27:47,15,1,14,Helmond,f,04/10/1981,zuv,0.08
1172,103,12/07/2017,08:46:56,17,3,30,Tilburg,m,26/01/1975,bio,0.08
1172,103,12/07/2017,19:06:09,11,9,63,Tilburg,m,26/01/1975,zuv,0.23
1173,108,13/07/2017,12:16:29,14,9,81,Helmond,f,30/06/1978,lux,0.12
1174,105,13/07/2017,08:44:31,12,10,90,Helmond,m,06/07/1986,zuv,0.12
1175,102,13/07/2017,15:18:01,14,7,63,Venlo,m,03/10/1972,lux,0.12
1176,108,13/07/2017,08:26:12,13,5,75,Helmond,f,30/06/1978,zuv,0.23
1176,108,13/07/2017,15:04:09,17,2,20,Helmond,f,30/06/1978,bio,0.08
1177,102,15/07/2017,19:18:52,12,8,72,Venlo,m,03/10/1972,zuv,0.12
1178,105,15/07/2017,11:59:20,17,5,50,Helmond,m,06/07/1986,bio,0.08
1179,102,15/07/2017,10:11:27,11,10,70,Venlo,m,03/10/1972,zuv,0.23
1180,114,17/07/2017,07:36:18,17,9,90,Tilburg,m,02/01/1980,bio,0.08
1180,114,17/07/2017,19:06:57,13,8,120,Tilburg,m,02/01/1980,zuv,0.23
1181,106,19/07/2017,18:48:39,14,2,18,Eindhoven,m,02/08/1983,lux,0.12
1182,103,19/07/2017,13:51:00,14,6,54,Tilburg,m,26/01/1975,lux,0.12
1182,103,19/07/2017,20:09:14,11,10,70,Tilburg,m,26/01/1975,zuv,0.23
1183,102,19/07/2017,08:34:54,15,7,98,Venlo,m,03/10/1972,zuv,0.08
1183,102,19/07/2017,13:47:50,17,3,30,Venlo,m,03/10/1972,bio,0.08
1184,118,25/07/2017,09:55:56,13,1,15,Eindhoven,f,25/11/1965,zuv,0.23
1184,118,25/07/2017,06:03:11,10,1,10,Eindhoven,f,25/11/1965,lux,0.08
1184,118,25/07/2017,11:27:39,15,9,126,Eindhoven,f,25/11/1965,zuv,0.08
1185,116,25/07/2017,15:30:41,14,4,36,Helmond,f,04/10/1981,lux,0.12
1186,117,26/07/2017,16:59:26,16,10,140,Eindhoven,m,14/01/1983,bio,0.23
1186,117,26/07/2017,19:24:11,17,6,60,Eindhoven,m,14/01/1983,bio,0.08
1187,120,27/07/2017,14:04:25,16,6,84,Helmond,f,20/11/1972,bio,0.23
1188,103,28/07/2017,16:49:00,14,10,90,Tilburg,m,26/01/1975,lux,0.12
1189,102,29/07/2017,20:21:04,19,2,8,Venlo,m,03/10/1972,lux,0.19
1190,116,30/07/2017,06:54:58,10,9,90,Helmond,f,04/10/1981,lux,0.08
1190,116,30/07/2017,19:59:48,15,4,56,Helmond,f,04/10/1981,zuv,0.08
1190,116,30/07/2017,08:15:21,14,6,54,Helmond,f,04/10/1981,lux,0.12
1191,116,01/08/2017,08:37:50,12,4,36,Helmond,f,04/10/1981,zuv,0.12
1191,116,01/08/2017,09:04:47,13,1,15,Helmond,f,04/10/1981,zuv,0.23
1192,101,02/08/2017,19:33:33,14,8,72,Eindhoven,m,26/04/1985,lux,0.12
1193,116,02/08/2017,07:06:46,17,2,20,Helmond,f,04/10/1981,bio,0.08
1194,115,02/08/2017,10:46:14,10,7,70,Eindhoven,f,19/10/1975,lux,0.08
1195,113,02/08/2017,08:24:09,12,5,45,Venlo,m,05/09/1966,zuv,0.12
1195,113,02/08/2017,15:53:34,15,2,28,Venlo,m,05/09/1966,zuv,0.08
1195,113,02/08/2017,06:41:07,14,10,90,Venlo,m,05/09/1966,lux,0.12
